Location Code,92064,Temperature Units,FAHRENHEIT,Depth Units,INCHES
Month,Day,Low Temperature,Mean Temperature,High Temperature,Rainfall
1,1,37,54,70,0.1
1,2,37,54,70,0.1
1,3,38,54,70,0.1
1,4,38,54,70,0.1
1,5,38,54,70,0.1
1,6,38,54,70,0.1
1,7,38,54,70,0.1
1,8,38,54,69,0.1
1,9,38,54,69,0.1
1,10,38,54,69,0.1
1,11,38,54,70,0.1
1,12,39,54,70,0.1
1,13,39,54,70,0.1
1,14,39,54,70,0.1
1,15,39,54,70,0.1
1,16,39,54,70,0.1
1,17,39,54,70,0.1
1,18,39,54,70,0.1
1,19,39,54,70,0.1
1,20,39,55,70,0.1
1,21,39,55,70,0.1
1,22,39,55,70,0.1
1,23,39,55,70,0.1
1,24,39,55,70,0.1
1,25,40,55,70,0.1
1,26,40,55,70,0.1
1,27,40,55,70,0.1
1,28,40,55,70,0.1
1,29,40,55,70,0.1
1,30,40,55,70,0.1
1,31,40,55,70,0.1
2,1,40,55,71,0.1
2,2,40,55,71,0.1
2,3,40,56,71,0.1
2,4,40,56,71,0.1
2,5,40,56,71,0.1
2,6,40,56,71,0.1
2,7,40,56,71,0.1
2,8,40,56,71,0.1
2,9,40,56,71,0.1
2,10,41,56,71,0.1
2,11,41,56,71,0.1
2,12,41,56,71,0.1
2,13,41,56,71,0.1
2,14,41,56,71,0.1
2,15,41,56,71,0.1
2,16,41,32,72,0.1
2,17,41,32,72,0.1
2,18,41,32,72,0.1
2,19,41,32,71,0.1
2,20,41,32,71,0.1
2,21,41,32,71,0.1
2,22,41,32,71,0.1
2,23,42,32,71,0.1
2,24,42,32,71,0.1
2,25,42,32,71,0.1
2,26,42,32,71,0.1
2,27,42,32,71,0.1
2,28,42,32,71,0.1
3,1,42,56,71,0.1
3,2,42,56,71,0.1
3,3,42,56,71,0.1
3,4,42,56,71,0.1
3,5,42,57,71,0.1
3,6,42,57,71,0.1
3,7,42,57,71,0.1
3,8,43,57,71,0.1
3,9,43,57,71,0.1
3,10,43,57,71,0.1
3,11,43,57,71,0.1
3,12,43,57,71,0.1
3,13,43,57,71,0.1
3,14,43,57,71,0.1
3,15,43,57,71,0.1
3,16,43,57,71,0.1
3,17,43,57,71,0.1
3,18,43,57,71,0.1
3,19,43,57,71,0.1
3,20,43,57,71,0.1
3,21,43,58,72,0.1
3,22,44,58,72,0.1
3,23,44,58,72,0.1
3,24,44,58,72,0.1
3,25,44,58,72,0.1
3,26,44,58,72,0.1
3,27,44,58,73,0.1
3,28,44,58,73,0.1
3,29,44,58,73,0.1
3,30,44,59,73,0.1
3,31,44,59,73,0.1
4,1,44,59,74,0.03
4,2,44,59,74,0.03
4,3,44,59,74,0.03
